T	rho	B2	P_virial	Sk0	kappa	mu	s2	Sk_max
2.5	0.8	-1.97735919634	84976.7431884	0.0968533404708	0.0484266702354	9.90211120898	-0.392421766177	2.14183582893
2.5	0.79	-1.97735919634	-53740.240628	0.103007259385	0.0521555743723	8.99746126089	-0.380562957211	2.10616238162
2.5	0.78	-1.97735919634	-51298.622969	0.109579535713	0.0561946336992	8.14481497799	-0.369005249708	2.07104345429
2.5	0.77	-1.97735919634	-49940.9043015	0.116601683807	0.0605723032766	7.34124249665	-0.357739173324	2.03659270498
2.5	0.76	-1.97735919634	-48286.0542517	0.124107722674	0.0653198540392	6.58399098056	-0.346755654522	2.00289908422
2.5	0.75	-1.97735919634	-46125.7337767	0.132134362126	0.0704716598005	5.87047180588	-0.336046009505	1.97258804233
2.5	0.74	-1.97735919634	-44633.453002	0.140721198898	0.0760655129179	5.1982486923	-0.325601928115	1.94339982731
2.5	0.73	-1.97735919634	-43034.4854398	0.149910920655	0.0821429702217	4.56502681754	-0.315415458342	1.9147161296
2.5	0.72	-1.97735919634	-40391.6780459	0.159749516095	0.0887497311636	3.96864283875	-0.305478991465	1.88660514742
2.5	0.71	-1.97735919634	-39513.8701589	0.170286488771	0.0959360500117	3.4070557418	-0.295785247775	1.85912000012
2.5	0.7	-1.97735919634	-38073.9594449	0.181575071588	0.103757183765	2.87833843763	-0.286327262833	1.83230083454
2.5	0.69	-1.97735919634	-36294.9766773	0.193672437253	0.112273876669	2.38067005832	-0.277098374325	1.80675373522
2.5	0.68	-1.97735919634	-33556.2474544	0.206639899387	0.121552881993	1.91232887488	-0.26809220941	1.7832110112
2.5	0.67	-1.97735919634	-32339.9810308	0.220543096799	0.131667520477	1.47168579181	-0.259302672611	1.76014410091
2.5	0.66	-1.97735919634	-29929.4406684	0.235452152102	0.142698274001	1.05719835671	-0.250723934157	1.73758514031
2.5	0.65	-1.97735919634	-27855.8706025	0.251441792638	0.154733410854	0.667405254255	-0.242350418857	1.71555807217
2.5	0.64	-1.97735919634	-26645.2315807	0.268591420194	0.167869637621	0.300921224522	-0.234176795402	1.69407978587
2.5	0.63	-1.97735919634	-25667.5877809	0.28698511183	0.182212769416	-0.0435676219391	-0.226197966112	1.67316112782
2.5	0.62	-1.97735919634	-23643.4912755	0.306711531006	0.1978784071	-0.367308130415	-0.218409057133	1.65280779229
2.5	0.61	-1.97735919634	-20934.7696477	0.327863723961	0.214992605876	-0.671484100592	-0.210805409033	1.63395403786
2.5	0.6	-1.97735919634	-20871.4305513	0.350538771996	0.233692514664	-0.957219988067	-0.203382567833	1.61573256064
2.5	0.59	-1.97735919634	-18785.5653129	0.374837265851	0.254126959899	-1.22558433848	-0.196136276336	1.59794065351
2.5	0.58	-1.97735919634	-16555.7920499	0.400862561359	0.276456938869	-1.4775929629	-0.189062465965	1.58058374273
2.5	0.57	-1.97735919634	-15223.2542166	0.42871977396	0.300855981727	-1.71421189527	-0.182157248857	1.56366381526
2.5	0.56	-1.97735919634	-14611.2519713	0.458514462212	0.327510330151	-1.93636013944	-0.175416910364	1.54717990948
2.5	0.55	-1.97735919634	-12691.1218024	0.490350948064	0.356618871319	-2.14491222589	-0.168837901841	1.53112854661
2.5	0.54	-1.97735919634	-11505.6941189	0.524330219165	0.388392754937	-2.34070059297	-0.16241683389	1.515504109
2.5	0.53	-1.97735919634	-11086.9155776	0.560547360338	0.423054611575	-2.52451781337	-0.156150469765	1.5002991709
2.5	0.52	-1.97735919634	-9044.45587551	0.599088463713	0.46083727978	-2.69711867414	-0.150035719198	1.48595694748
2.5	0.51	-1.97735919634	-7796.71144165	0.640026976099	0.501981942038	-2.85922212276	-0.144069632604	1.47208349762
2.5	0.5	-1.97735919634	-7157.93521455	0.683419460121	0.546735568097	-3.01151309917	-0.138249395386	1.4585354162
2.5	0.49	-1.97735919634	-4580.17611415	0.729300765355	0.595347563555	-3.15464425959	-0.132572322711	1.44530686108
2.5	0.48	-1.97735919634	-3023.20821503	0.77767863853	0.648065532109	-3.28923760389	-0.127035854657	1.43239070217
2.5	0.47	-1.97735919634	-1906.62105236	0.828527848299	0.705130083659	-3.41588602684	-0.121637551365	1.41977872043
2.5	0.46	-1.97735919634	-1126.5770153	0.881783946911	0.766768649488	-3.53515479699	-0.116375088776	1.40746178582
2.5	0.45	-1.97735919634	96.0152122646	0.93733685894	0.833188319058	-3.64758298164	-0.111246254527	1.39543001644
2.5	0.44	-1.97735919634	1066.52486873	0.995024554958	0.904567777235	-3.75368482888	-0.106248944177	1.38367292178
2.5	0.43	-1.97735919634	2442.57821877	1.05462714592	0.981048507829	-3.85395112406	-0.101381157686	1.37217953227
2.5	0.42	-1.97735919634	3647.03902253	1.11586180163	1.06272552537	-3.94885053178	-0.0966409962279	1.36093851692
2.5	0.41	-1.97735919634	2595.57416271	1.17837896378	1.14963801344	-4.03883094208	-0.0920266593472	1.34993829109
2.5	0.4	-1.97735919634	3988.02442966	1.24176036407	1.24176036407	-4.12432083788	-0.0875364418414	1.33936287764
2.5	0.39	-1.97735919634	3031.78219103	1.30551935811	1.33899421344	-4.20573069242	-0.0831687322062	1.32903016267
2.5	0.38	-1.97735919634	4557.21510985	1.36910407633	1.44116218561	-4.28345442946	-0.0789220095372	1.36910407633
2.5	0.37	-1.97735919634	5945.99658392	1.43190377093	1.54800407669	-4.35787094591	-0.0747948425003	1.43190377093
2.5	0.36	-1.97735919634	7383.17491763	1.49325863266	1.65917625851	-4.42934573223	-0.0707858871748	1.49325863266
2.5	0.35	-1.97735919634	6378.58376085	1.55247311716	1.77425499104	-4.49823259915	-0.0668938858872	1.55247311716
2.5	0.34	-1.97735919634	7918.41662752	1.60883259404	1.89274422828	-4.56487554011	-0.0631176653583	1.60883259404
2.5	0.33	-1.97735919634	6904.33215999	1.6616228193	2.01408826582	-4.62961074159	-0.0594561365682	1.6616228193
2.5	0.32	-1.97735919634	8536.29802757	1.71015148619	2.13768935774	-4.69276878415	-0.0559082925766	1.71015148619
2.5	0.31	-1.97735919634	7620.85407218	1.75377078128	2.26293004037	-4.75467704432	-0.052473208753	1.75377078128
2.5	0.3	-1.97735919634	9234.34667618	1.79189973756	2.38919965008	-4.81566235396	-0.0491500405885	1.79189973756
2.5	0.29	-1.97735919634	8112.02906508	1.82404498681	2.51592411974	-4.87605393946	-0.0459380239008	1.82404498681
2.5	0.28	-1.97735919634	9907.10140613	1.8498186016	2.64259800229	-4.93618671685	-0.0428364723913	1.8498186016
2.5	0.27	-1.97735919634	9076.0636424	1.86895176731	2.76881743305	-4.996404988	-0.0398447776594	1.86895176731
2.5	0.26	-1.97735919634	8443.17814965	1.88130338305	2.89431289701	-5.05706664789	-0.0369624063694	1.88130338305
