T	rho	B2	P_virial	Sk0	kappa	mu	s2	Sk_max
1.5625	0.01	-5.6689364565	61.1002109575	1.12257015571	71.8444899658	-7.36750476664	-7.51551531614e-05	1.12257015571
1.5625	0.02	-5.6689364565	198.345612016	1.28053630549	40.9771617757	-6.45649510789	-0.000304284698189	1.28053630549
1.5625	0.03	-5.6689364565	470.287612453	1.49581908815	31.9108072139	-5.99565940456	-0.000695698627372	1.49581908815
1.5625	0.04	-5.6689364565	1170.02960882	1.82150349527	29.1440559243	-5.72090018974	-0.00126657912983	1.82150349527
1.5625	0.05	-5.6689364565	1908.20881108	2.50257381018	32.0329447703	-5.55498638634	-0.00208144954033	2.50257381018
