T	rho	B2	P_virial	Sk0	kappa	mu	s2	Sk_max
1.66666666667	0.8	-4.95467842311	78287.5819314	0.206962204084	0.155221653063	-1.45130381541	-0.399265756642	2.17913757131
1.66666666667	0.79	-4.95467842311	-59568.534932	0.230898639641	0.175366055424	-1.90013970375	-0.387526973649	2.14300269155
1.66666666667	0.78	-4.95467842311	-57994.2845635	0.258735437067	0.199027259282	-2.31479231407	-0.376093306172	2.10931788215
1.66666666667	0.77	-4.95467842311	-56221.8383668	0.291375783933	0.227046065402	-2.69729245443	-0.364955744811	2.07864012115
1.66666666667	0.76	-4.95467842311	-53930.8265579	0.330009704078	0.260533976904	-3.04954493863	-0.35410577202	2.04872131946
1.66666666667	0.75	-4.95467842311	-52266.3842338	0.376234759751	0.300987807801	-3.37333647272	-0.343535378822	2.01963989927
1.66666666667	0.74	-4.95467842311	-49464.9328987	0.432242382359	0.350466796508	-3.67034253695	-0.333237081589	1.99145907297
1.66666666667	0.73	-4.95467842311	-47853.2545281	0.50111515036	0.41187546605	-3.94213306129	-0.323203952267	1.96423008306
1.66666666667	0.72	-4.95467842311	-46029.9394753	0.587319730379	0.489433108649	-4.19017666929	-0.31342966868	1.9379953766
1.66666666667	0.71	-4.95467842311	-43608.5799906	0.697562519068	0.589489452734	-4.41584303091	-0.30390859636	1.9127918862
1.66666666667	0.7	-4.95467842311	-41293.7102537	0.84235913356	0.72202211448	-4.6204024814	-0.294635922114	1.88865470641
1.66666666667	0.69	-4.95467842311	-38785.1640666	1.03911595647	0.90357909258	-4.8050212324	-0.285607877677	1.86712052099
1.66666666667	0.68	-4.95467842311	-36813.3884037	1.31872505777	1.16358093332	-4.97074867131	-0.276822131701	1.84660488451
1.66666666667	0.67	-4.95467842311	-34872.1034679	1.74137201555	1.55943762586	-5.1184887079	-0.268278526715	1.82710770861
1.66666666667	0.66	-4.95467842311	-34018.7705138	2.44087812331	2.2189801121	-5.24893402773	-0.259980618744	2.44087812331
1.66666666667	0.65	-4.95467842311	-30388.3980787	3.78246105085	3.49150250847	-5.36239495654	-0.251939478738	3.78246105085
1.66666666667	0.64	-4.95467842311	-29424.0638599	7.22266884115	6.77125203858	-5.45820268892	-0.24418649073	7.22266884115
