	T	rho	B2	P_virial	Sk0	kappa	P_kappa	mu	s2	Sk_max
0	1.0	0.01	3.62957607331	0.0103339710183	0.931203293551	93.1203293551	0.010001	-4.53143035624	-5.31969816887e-05	1.00486282882
1	1.0	0.02	3.62957607331	0.021364653676	0.867790214567	43.3895107284	0.0211321580304	-3.76216088353	-0.000212370228002	1.00993400067
2	1.0	0.03	3.62957607331	0.0331378257475	0.809342193262	26.9780731087	0.0330717758314	-3.27806098511	-0.000476916977114	1.01523019531
3	1.0	0.04	3.62957607331	0.0457028111014	0.755463175521	18.886579388	0.0458680887009	-2.9090999329	-0.00084626919637	1.02075126581
4	1.0	0.05	3.62957607331	0.059112534808	0.705781458548	14.115629171	0.0595708909084	-2.60189987509	-0.00131989676627	1.02649850889
5	1.0	0.06	3.62957607331	0.0734235807973	0.65995051946	10.9991753243	0.0742315624105	-2.33260927703	-0.00189730999567	1.03247067421
6	1.0	0.07	3.62957607331	0.0886962523432	0.617649072498	8.82355817854	0.0899030996902	-2.08844028883	-0.00257806154191	1.03868605747
7	1.0	0.08	3.62957607331	0.104994627009	0.57858055607	7.23225695087	0.106640150369	-1.86170278669	-0.00336174783885	1.0451900156
8	1.0	0.09	3.62957607331	0.122386658079	0.542472216485	6.02746907206	0.124499051247	-1.64738540919	-0.00424800995161	1.0519334213
9	1.0	0.1	3.62957607331	0.140944191817	0.509073920839	5.09073920839	0.143537869472	-1.44201987937	-0.0052365343269	1.0589073678
10	1.0	0.11	3.62957607331	0.160743108032	0.478156805745	4.34688005223	0.163816446526	-1.2430894441	-0.006327052876	1.06610049178
11	1.0	0.12	3.62957607331	0.181863370302	0.449511840024	3.7459320002	0.185396444793	-1.04869574304	-0.00751934309878	1.07367406457
12	1.0	0.13	3.62957607331	0.204389128342	0.422948362115	3.25344893935	0.208341396443	-0.857359424021	-0.00881322786939	1.08148124889
13	1.0	0.14	3.62957607331	0.228408798317	0.398292634683	2.8449473906	0.232716754444	-0.667894807591	-0.0102085751549	1.08950413631
14	1.0	0.15	3.62957607331	0.25401523503	0.375386446739	2.50257631159	0.258589945479	-0.479327851657	-0.0117052973568	1.09776410746
15	1.0	0.16	3.62957607331	0.281305724202	0.354085782166	2.21303613854	0.286030424609	-0.29084060171	-0.0133033511426	1.10644988743
16	1.0	0.17	3.62957607331	0.310382218994	0.33425956814	1.96623275376	0.31510973152	-0.101732476161	-0.0150027364918	1.11534250436
17	1.0	0.18	3.62957607331	0.341351390866	0.315788508429	1.75438060238	0.345901548181	0.0886074009239	-0.0168034963	1.12441380001
18	1.0	0.19	3.62957607331	0.37432474749	0.298564004641	1.57138949811	0.378481757802	0.280720405429	-0.0187057157821	1.13386611609
19	1.0	0.2	3.62957607331	0.409418859538	0.28248716458	1.4124358229	0.412928504934	0.475093454546	-0.0207095215568	1.14366359466
20	1.0	0.21	3.62957607331	0.446755325348	0.267467894378	1.2736566399	0.449322256614	0.672170399168	-0.0228150815737	1.15361859717
21	1.0	0.22	3.62957607331	0.486461051382	0.253424071316	1.15192759689	0.48774586442	0.872360779894	-0.0250226040988	1.16377627359
22	1.0	0.23	3.62957607331	0.528668402849	0.240280791673	1.04469909423	0.528284627329	1.07604665245	-0.0273323371428	1.17451262393
23	1.0	0.24	3.62957607331	0.573515182414	0.227969688463	0.949873701928	0.571026355285	1.28358797485	-0.0297445684776	1.18537965019
24	1.0	0.25	3.62957607331	0.621144965012	0.216428314207	0.865713256827	0.61606143339	1.49532690257	-0.0322596245847	1.19632996954
25	1.0	0.26	3.62957607331	0.671707136989	0.205599582654	0.790767625592	0.663482886591	1.71159125311	-0.03487787058	1.2079358247
26	1.0	0.27	3.62957607331	0.725357040235	0.195431264746	0.723819499059	0.713386444831	1.93269732343	-0.0375997098582	1.21974487415
27	1.0	0.28	3.62957607331	0.782256217418	0.185875533842	0.663841192295	0.765870608553	2.15895220062	-0.0404255834632	1.23159676043
28	1.0	0.29	3.62957607331	0.842572469589	0.176888555404	0.609960535876	0.821036714495	2.39065567387	-0.0433559700967	1.24398446619
29	1.0	0.3	3.62957607331	0.906480042284	0.168430117102	0.561433723672	0.87898900174	2.62810182567	-0.0463913857621	1.25676930498
30	1.0	0.31	3.62957607331	0.97415974286	0.160463295278	0.517623533154	0.939834677935	2.87158036632	-0.0495323836655	1.26955032547
31	1.0	0.32	3.62957607331	1.0457991631	0.15295415426	0.477981732063	1.00368398566	3.12137775881	-0.0527795538156	1.28271793967
32	1.0	0.33	3.62957607331	1.12159286832	0.145871475174	0.442034773253	1.0706502689	3.37777817345	-0.0561335227583	1.29651793761
33	1.0	0.34	3.62957607331	1.20174235115	0.139186511215	0.409372091808	1.14085003955	3.64106430449	-0.059594954098	1.31026099401
34	1.0	0.35	3.62957607331	1.28645638924	0.132872766974	0.379636477068	1.21440304409	3.91151806736	-0.063164547743	1.32420589251
35	1.0	0.36	3.62957607331	1.37595120414	0.126905799105	0.352516108624	1.29143233012	4.18942120136	-0.0668430398064	1.33906768117
36	1.0	0.37	3.62957607331	1.47045037582	0.121263036205	0.32773793569	1.37206431314	4.47505579438	-0.0706312033183	1.35381251195
37	1.0	0.38	3.62957607331	1.57018538317	0.115923616199	0.305062147892	1.45642884319	4.76870473472	-0.0745298469163	1.3685294444
38	1.0	0.39	3.62957607331	1.67539537854	0.110868239043	0.284277536008	1.54465927164	5.07065211336	-0.0785398160348	1.38450848575
39	1.0	0.4	3.62957607331	1.7863275918	0.106079033594	0.265197583985	1.63689251802	5.38118357301	-0.0826619920485	1.40030311485
