T	rho	B2	P_virial	Sk0	kappa	mu	s2	Sk_max
1.02040816327	0.01	-2.1805095314	67.9397393047	1.04446910112	102.35797191	-4.74314384695	-7.19949356128e-05	1.04446910112
1.02040816327	0.02	-2.1805095314	268.95867484	1.09153367284	53.4851499693	-4.07914848017	-0.000287516304679	1.09153367284
1.02040816327	0.03	-2.1805095314	529.245811319	1.14133473846	37.2836014565	-3.70798925955	-0.00064579516785	1.14133473846
1.02040816327	0.04	-2.1805095314	928.001743815	1.19401592961	29.2533902755	-3.45627729861	-0.00114596771556	1.19401592961
1.02040816327	0.05	-2.1805095314	1523.10796422	1.24972190852	24.494549407	-3.26966053422	-0.00178708035783	1.24972190852
1.02040816327	0.06	-2.1805095314	2356.86364451	1.30859619722	21.3737378879	-3.12391912395	-0.00256809540842	1.30859619722
1.02040816327	0.07	-2.1805095314	3432.41094287	1.37077825764	19.190895607	-3.00612607794	-0.00348789711632	1.37077825764
1.02040816327	0.08	-2.1805095314	3622.88929986	1.43639964421	17.5958956416	-2.90855960117	-0.00454529787144	1.43639964421
1.02040816327	0.09	-2.1805095314	5624.97714716	1.50557902288	16.3940826936	-2.82623481847	-0.00573904420616	1.50557902288
1.02040816327	0.1	-2.1805095314	8415.58560309	1.57841582533	15.4684750882	-2.75574497653	-0.00706782294206	1.57841582533
1.02040816327	0.11	-2.1805095314	8875.30568275	1.65498230459	14.7443878045	-2.6946578695	-0.00853026679092	1.65498230459
1.02040816327	0.12	-2.1805095314	9680.4692495	1.73531375619	14.1717290089	-2.64117597513	-0.0101249594006	1.73531375619
1.02040816327	0.13	-2.1805095314	10707.3829805	1.81939667642	13.7154518684	-2.59393306602	-0.0118504408704	1.81939667642
1.02040816327	0.14	-2.1805095314	14073.5939696	1.90715473787	13.3500831651	-2.55186638957	-0.0137052124859	1.90715473787
1.02040816327	0.15	-2.1805095314	15685.8705171	1.99843257123	13.056426132	-2.51413303747	-0.0156877424736	1.99843257123
1.02040816327	0.16	-2.1805095314	12799.7486939	2.0929775401	12.8194874331	-2.48005334446	-0.017796471928	2.0929775401
