T	rho	B2	P_virial	Sk0	kappa	mu	s2	Sk_max
1.0	0.8	-2.33725087278	68885.8271755	0.218096145124	0.272620181405	0.443105287382	-0.417833101558	2.1062195112
1.0	0.79	-2.33725087278	-63450.8074021	0.235644915089	0.298284702645	0.252035464184	-0.406110330927	2.07674260729
1.0	0.78	-2.33725087278	-61958.4264644	0.254675842501	0.326507490386	0.0748305326661	-0.394665336722	2.04833096213
1.0	0.77	-2.33725087278	-59791.6477466	0.27531931312	0.357557549506	-0.0894958532063	-0.383489093657	2.02095727936
1.0	0.76	-2.33725087278	-58248.3764873	0.297716766774	0.39173258786	-0.241861442874	-0.372572985755	1.9945910174
1.0	0.75	-2.33725087278	-55318.2140778	0.322021381698	0.429361842264	-0.383120460645	-0.361908795626	1.96919929874
1.0	0.74	-2.33725087278	-54380.4980197	0.348398730618	0.47080909543	-0.514068280389	-0.351488685914	1.94474764517
1.0	0.73	-2.33725087278	-51317.9938898	0.377027382177	0.516475865996	-0.635445716288	-0.341305181479	1.92120056962
1.0	0.72	-2.33725087278	-49912.7902125	0.408099415105	0.566804743202	-0.747942955087	-0.331351152372	1.89852204926
1.0	0.71	-2.33725087278	-47816.0907649	0.441820809946	0.62228283091	-0.852203170879	-0.321619797396	1.87724213833
1.0	0.7	-2.33725087278	-44540.1449645	0.478411670778	0.683445243969	-0.948825842293	-0.312104628602	1.85692988912
1.0	0.69	-2.33725087278	-42506.3455471	0.518106224342	0.750878586003	-1.03836980293	-0.302799456377	1.83728310201
1.0	0.68	-2.33725087278	-41024.0392468	0.56115253428	0.825224315118	-1.12135604849	-0.293698375032	1.81827765272
1.0	0.67	-2.33725087278	-40663.9047477	0.607811857554	0.907181876947	-1.19827031952	-0.284795749488	1.79988877586
1.0	0.66	-2.33725087278	-38060.2737587	0.658357564278	0.997511461027	-1.26956548252	-0.276086202186	1.7820913074
1.0	0.65	-2.33725087278	-35608.766872	0.713073530817	1.09703620126	-1.33566372394	-0.267564601188	1.76485988055
1.0	0.64	-2.33725087278	-33101.4673079	0.77225191581	1.20664361845	-1.39695857806	-0.259226048469	1.74816908273
1.0	0.63	-2.33725087278	-30782.1628421	0.836190220093	1.32728606364	-1.45381679996	-0.251065869194	1.73199358099
1.0	0.62	-2.33725087278	-28096.7459931	0.905187537232	1.45997989876	-1.50658009997	-0.243079601327	1.71630822139
1.0	0.61	-2.33725087278	-28164.7169893	0.979539904973	1.60580312291	-1.55556675137	-0.235262986405	1.70108810782
1.0	0.6	-2.33725087278	-24173.8497964	1.05953468673	1.76589114455	-1.60107308601	-0.227611960192	1.68630866415
1.0	0.59	-2.33725087278	-22756.9193139	1.14544391769	1.94143036897	-1.64337488399	-0.220122644833	1.67194568375
1.0	0.58	-2.33725087278	-20325.0240544	1.23751660421	2.1336493176	-1.68272867616	-0.212791340601	1.6579753688
1.0	0.57	-2.33725087278	-15748.2964664	1.33596996712	2.34380695985	-1.71937296146	-0.205614518822	1.64437436231
1.0	0.56	-2.33725087278	-14495.0705483	1.44097968363	2.57317800648	-1.75352935276	-0.198588815708	1.63111977437
1.0	0.55	-2.33725087278	-14933.5862114	1.5526692217	2.82303494854	-1.78540366054	-0.191711024746	1.61818920397
1.0	0.54	-2.33725087278	-9278.88598046	1.67109838826	3.09462664492	-1.81518691928	-0.184978091709	1.67109838826
1.0	0.53	-2.33725087278	-10684.1920023	1.79625124542	3.38915329324	-1.84305636286	-0.178387109165	1.79625124542
1.0	0.52	-2.33725087278	-10347.1444153	1.92802362158	3.70773773382	-1.86917636308	-0.171935309915	1.92802362158
1.0	0.51	-2.33725087278	-5987.22607155	2.0662103473	4.05139283785	-1.89369932485	-0.16562006217	2.0662103473
1.0	0.5	-2.33725087278	-4271.86708343	2.21049241965	4.42098483929	-1.9167665505	-0.159438865082	2.21049241965
1.0	0.49	-2.33725087278	-3496.79443504	2.36042422182	4.81719228943	-1.93850907594	-0.15338934181	2.36042422182
1.0	0.48	-2.33725087278	572.661202108	2.51542082519	5.24046005248	-1.95904847778	-0.1474692353	2.51542082519
1.0	0.47	-2.33725087278	4392.76694629	2.67474534499	5.69094754252	-1.97849765456	-0.141676401642	2.67474534499
1.0	0.46	-2.33725087278	5739.37326367	2.83749625188	6.16847011279	-1.99696158483	-0.136008805126	2.83749625188
