#T 	 eps 	 branch 	 rho_spinodal 
1.19047619048	0.839999999997	liq	-3.85999451245
#T 	 eps 	 branch 	 rho_spinodal 
1.16279069767	0.860000000003	liq	-3.91115151168
#T 	 eps 	 branch 	 rho_spinodal 
1.13636363636	0.880000000003	liq	-3.99386866174
#T 	 eps 	 branch 	 rho_spinodal 
1.08695652174	0.919999999999	liq	-4.13008995586
#T 	 eps 	 branch 	 rho_spinodal 
1.06382978723	0.940000000004	liq	-4.21452614504
#T 	 eps 	 branch 	 rho_spinodal 
1.04166666667	0.959999999997	liq	-4.29815650422
#T 	 eps 	 branch 	 rho_spinodal 
1.02040816327	0.979999999995	liq	-4.31319864595
#T 	 eps 	 branch 	 rho_spinodal 
1.11111111111	0.900000000001	liq	-4.06039324061
#T 	 eps 	 branch 	 rho_spinodal 
0.980392156863	1.02	liq	-1.40988594241
#T 	 eps 	 branch 	 rho_spinodal 
0.961538461538	1.04	liq	-0.193140990908
#T 	 eps 	 branch 	 rho_spinodal 
0.943396226415	1.06	liq	0.220177501541
#T 	 eps 	 branch 	 rho_spinodal 
0.925925925926	1.08	liq	0.359208946244
#T 	 eps 	 branch 	 rho_spinodal 
1.0	1.0	liq	-4.44499817786
#T 	 eps 	 branch 	 rho_spinodal 
0.892857142857	1.12	liq	0.509562338702
#T 	 eps 	 branch 	 rho_spinodal 
0.877192982456	1.14	liq	0.540307257234
#T 	 eps 	 branch 	 rho_spinodal 
0.862068965517	1.16	liq	0.585091712874
#T 	 eps 	 branch 	 rho_spinodal 
0.847457627119	1.18	liq	0.61818197057
#T 	 eps 	 branch 	 rho_spinodal 
0.909090909091	1.1	liq	0.460457970361
#T 	 eps 	 branch 	 rho_spinodal 
0.819672131148	1.22	liq	0.663713078188
#T 	 eps 	 branch 	 rho_spinodal 
0.793650793651	1.26	liq	0.707280740999
#T 	 eps 	 branch 	 rho_spinodal 
0.833333333333	1.2	liq	0.643292235991
