T	rho	B2	P_virial	Sk0	kappa	mu	s2	Sk_max
1.04166666667	0.01	-2.02821134075	65.3759710726	1.04104208715	99.9400403666	-4.83863175882	-7.04486630031e-05	1.04104208715
1.04166666667	0.02	-2.02821134075	263.46136592	1.084124489	52.0379754722	-4.15750086361	-0.000281298598845	1.084124489
1.04166666667	0.03	-2.02821134075	527.393820922	1.12931382361	36.1380423557	-3.77533568105	-0.000631742350601	1.12931382361
1.04166666667	0.04	-2.02821134075	904.585830366	1.17667052106	28.2400925054	-3.51513844172	-0.00112089192418	1.17667052106
1.04166666667	0.05	-2.02821134075	1438.86793012	1.22624656894	23.5439341237	-3.32142797253	-0.00174778435581	1.22624656894
1.04166666667	0.06	-2.02821134075	2260.48412113	1.27808278351	20.4493245361	-3.169482894	-0.00251138771291	1.27808278351
1.04166666667	0.07	-2.02821134075	3243.73935215	1.33220554236	18.270247438	-3.0461097514	-0.00341060756865	1.33220554236
1.04166666667	0.08	-2.02821134075	2965.70204214	1.38862291948	16.6634750337	-2.94342852172	-0.00444429353239	1.38862291948
1.04166666667	0.09	-2.02821134075	4981.61506655	1.44732018062	15.4380819266	-2.85635291453	-0.00561124576702	1.44732018062
1.04166666667	0.1	-2.02821134075	7804.90726938	1.50825459516	14.4792441135	-2.78140742867	-0.0069102222769	1.50825459516
1.04166666667	0.11	-2.02821134075	8070.36658319	1.57134959302	13.7135964482	-2.71611120492	-0.00833994529917	1.57134959302
1.04166666667	0.12	-2.02821134075	8753.36760056	1.63648831396	13.0919065117	-2.65863108166	-0.00989910782345	1.63648831396
1.04166666667	0.13	-2.02821134075	9413.87311052	1.70350664801	12.5797414007	-2.60757396493	-0.0115863811162	1.70350664801
1.04166666667	0.14	-2.02821134075	14462.6176659	1.77218599611	12.1521325447	-2.56185633907	-0.0134004211339	1.77218599611
1.04166666667	0.15	-2.02821134075	16450.4750433	1.84224602334	11.7903745494	-2.52061887414	-0.0153398773022	1.84224602334
1.04166666667	0.16	-2.02821134075	14537.8018114	1.91333786842	11.4800272105	-2.48316862842	-0.0174033993225	1.91333786842
1.04166666667	0.17	-2.02821134075	15599.6207921	1.98503831967	11.2096281581	-2.4489387736	-0.0195896456381	1.98503831967
1.04166666667	0.18	-2.02821134075	18475.1041803	2.05684563717	10.9698433983	-2.41745982073	-0.0218972940222	2.05684563717
1.04166666667	0.19	-2.02821134075	17336.6553727	2.12817778152	10.7528982645	-2.38833860367	-0.0243250516827	2.12817778152
1.04166666667	0.2	-2.02821134075	22096.3506542	2.19837388282	10.5521946375	-2.36124262947	-0.026871664926	2.19837388282
1.04166666667	0.21	-2.02821134075	22044.6217734	2.26669963571	10.3620554775	-2.335888202	-0.0295359336988	2.26669963571
1.04166666667	0.22	-2.02821134075	22689.6351054	2.33235733813	10.1775592937	-2.31203127425	-0.0323167211021	2.33235733813
