	T	rho	B2	P_virial	P_kappa	Sk0	kappa	mu	s2	Sk_max
0	1.06382978723	0.01	-1.88021439067	62.9325780239	0.0104382750648	1.03774002144	97.5475620154	-4.93828417256	-6.89916710127e-05	1.03774002144
1	1.06382978723	0.02	-1.88021439067	257.453384107	0.0205026493558	1.077040865	50.6209206551	-4.23939142361	-0.000275456791778	1.077040865
2	1.06382978723	0.03	-1.88021439067	521.051698543	0.0301994120344	1.11791610733	35.0280380297	-3.84585599124	-0.000618578022141	1.11791610733
3	1.06382978723	0.04	-1.88021439067	885.011663124	0.0395415198112	1.16036909378	27.2686737039	-3.57691717612	-0.0010974723391	1.16036909378
4	1.06382978723	0.05	-1.88021439067	1410.39595409	0.0485419984774	1.20439087197	22.642548393	-3.37591615168	-0.00171119691383	1.20439087197
5	1.06382978723	0.06	-1.88021439067	2137.33930683	0.0572139251067	1.24995785605	19.5826730781	-3.21760814761	-0.00245875538675	1.24995785605
6	1.06382978723	0.07	-1.88021439067	3265.12207381	0.0655704124835	1.29702921951	17.4172495191	-3.08852137862	-0.0033391043883	1.29702921951
7	1.06382978723	0.08	-1.88021439067	3025.10657053	0.0736245958346	1.3455440266	15.8101423125	-2.9806103177	-0.00435116048178	1.3455440266
8	1.06382978723	0.09	-1.88021439067	4237.36964589	0.0813896218455	1.39541813983	14.5743672382	-2.88868237911	-0.00549380665758	1.39541813983
9	1.06382978723	0.1	-1.88021439067	6430.36412316	0.0888786398868	1.44654094308	13.597484865	-2.80918980211	-0.00676589964731	1.44654094308
10	1.06382978723	0.11	-1.88021439067	7281.51593729	0.0961047953106	1.49877197722	12.8076878054	-2.73960038826	-0.00816627709093	1.49877197722
11	1.06382978723	0.12	-1.88021439067	7886.84117972	0.103081224602	1.55193759742	12.1568445131	-2.67804316673	-0.0096937642157	1.55193759742
12	1.06382978723	0.13	-1.88021439067	8678.87046188	0.109821052152	1.60582780796	11.6113703037	-2.62309634323	-0.0113471812319	1.60582780796
13	1.06382978723	0.14	-1.88021439067	13450.984991	0.116337388392	1.66019346453	11.1470132618	-2.57365402201	-0.0131253504398	1.66019346453
14	1.06382978723	0.15	-1.88021439067	15075.198387	0.122643329066	1.7147440674	10.745729489	-2.52883898441	-0.01502710476	1.7147440674
15	1.06382978723	0.16	-1.88021439067	13314.3834817	0.128751955358	1.76914643355	10.3937352971	-2.48794364548	-0.0170512940845	1.76914643355
16	1.06382978723	0.17	-1.88021439067	16087.6899615	0.134676334692	1.8230245025	10.0802531315	-2.45038890476	-0.0191967934589	1.8230245025
17	1.06382978723	0.18	-1.88021439067	19742.8112517	0.140429522073	1.87596055658	9.79668290657	-2.41569473745	-0.0214625122404	1.87596055658
18	1.06382978723	0.19	-1.88021439067	19548.2257124	0.146024561922	1.92749814703	9.53604346426	-2.38345871452	-0.0238474018964	1.92749814703
19	1.06382978723	0.2	-1.88021439067	24805.9127607	0.151474490383	1.97714691995	9.29259052378	-2.35333999965	-0.0263504634268	1.97714691995
20	1.06382978723	0.21	-1.88021439067	25884.8668718	0.156792338305	2.02438943161	9.06155269387	-2.3250472066	-0.028970758012	2.02438943161
21	1.06382978723	0.22	-1.88021439067	25888.8270454	0.161991135122	2.06869002556	8.83894829104	-2.2983290477	-0.0317074133285	2.06869002556
22	1.06382978723	0.23	-1.88021439067	28109.6705152	0.167083914007	2.10950557127	8.62145755216	-2.27296701206	-0.0345596317925	2.10950557127
23	1.06382978723	0.24	-1.88021439067	30995.1495928	0.17208371881	2.14629778503	8.40633299137	-2.24876955504	-0.0375266991956	2.14629778503
24	1.06382978723	0.25	-1.88021439067	29133.668006	0.177003613366	2.17854669779	8.1913355837	-2.22556742798	-0.0406079909797	2.17854669779
25	1.06382978723	0.26	-1.88021439067	35127.6522761	0.1818566938	2.20576468155	7.97468769484	-2.20320987678	-0.0438029763672	2.20576468155
26	1.06382978723	0.27	-1.88021439067	41826.3132382	0.186656104557	2.22751030722	7.75503588441	-2.18156150329	-0.0471112272583	2.22751030722
27	1.06382978723	0.28	-1.88021439067	39093.3181185	0.191415058865	2.24340140263	7.53141899454	-2.16049965577	-0.0505324182684	2.24340140263
28	1.06382978723	0.29	-1.88021439067	42509.3974691	0.196146864254	2.25312656542	7.30323783273	-2.13991222738	-0.0540663299291	2.25312656542
29	1.06382978723	0.3	-1.88021439067	38533.2875649	0.200864953793	2.25645451747	7.07022415475	-2.11969577828	-0.0577128536204	2.25645451747
30	1.06382978723	0.31	-1.88021439067	44565.0143178	0.205582923509	2.25324092966	6.83240798027	-2.09975392693	-0.0614719881693	2.25324092966
31	1.06382978723	0.32	-1.88021439067	47365.1668014	0.210314576416	2.24343230495	6.5900823958	-2.07999594099	-0.0653438438287	2.24343230495
32	1.06382978723	0.33	-1.88021439067	52224.9421544	0.215073973424	2.22706697011	6.34376652093	-2.06033550939	-0.0693286380889	2.22706697011
33	1.06382978723	0.34	-1.88021439067	48686.0269584	0.219875491288	2.20427314168	6.09416692111	-2.04068964379	-0.0734266973549	2.20427314168
34	1.06382978723	0.35	-1.88021439067	51418.2506035	0.224733887641	2.1752644086	5.84213869738	-2.02097769857	-0.0776384522127	2.1752644086
35	1.06382978723	0.36	-1.88021439067	57181.3897362	0.229664373116	2.14033289316	5.5886469988	-2.00112047189	-0.0819644397407	2.14033289316
36	1.06382978723	0.37	-1.88021439067	53539.2504736	0.23468269047	2.0998406088	5.33473019533	-1.98103938245	-0.0864053002476	2.0998406088
